subnational1,year,predicted_loss_ha,predicted_loss_rate_%,predicted_emission_CO2e
Sumatera Barat,2027,26098.639,0.6848646894442413,66376928.72056641
Sumatera Selatan,2027,140792.44,2.0005748764599973,215467338.425625
Sumatera Utara,2027,68563.32,1.185222094133815,143930864.5328125
Yogyakarta,2027,85.67078,0.06429567816217306,101554.99501342773
Aceh,2028,44584.285,0.8944212009259118,89011633.62875
Bali,2028,210.82372,0.0576832743368294,379898.0100968933
Bangka Belitung,2028,31175.377,2.339009933872656,32379058.257285155
Banten,2028,2020.932,0.359773768714462,3804828.898590088
Bengkulu,2028,27030.643,1.5057176124178364,49502026.672597654
Gorontalo,2028,3929.5066,0.3918108813259104,6157890.484938965
Jakarta Raya,2028,-0.056864366,-0.00436746282145358,-18.78230006843805
Jambi,2028,106541.34,2.375936039868123,237732092.79
Jawa Barat,2028,4022.1902,0.20038911042536456,7055967.354897461
Jawa Tengah,2028,2579.5017,0.1711653842698071,4402048.641467285
Jawa Timur,2028,5338.7515,0.27848611389948524,8954100.56932129
Kalimantan Barat,2028,211564.72,1.5510156172850955,459653970.545
Kalimantan Selatan,2028,38030.4,1.3495489877069193,57224340.52890625
Kalimantan Tengah,2028,180527.92,1.2694566663978133,354457548.2054687
Kalimantan Timur,2028,94840.82,0.8093574386678521,201878170.1171875
Kalimantan Utara,2028,25558.824,0.3737934766052433,57875145.97269531
Kepulauan Riau,2028,1883.1168,0.2730025256297751,2750593.416184082
Lampung,2028,19947.123,1.1186571848548985,39677620.337460935
Maluku,2028,6368.2456,0.15354730766020938,13228247.136591796
Maluku Utara,2028,7718.101,0.25113726382469265,16683678.825063476
Nusa Tenggara Barat,2028,2920.4226,0.2573767068499777,6055642.297619629
Nusa Tenggara Timur,2028,3544.6785,0.15424595461654436,5567839.148505859
Papua,2028,23076.287,0.078045377598411,50136464.4253125
Papua Barat,2028,10134.001,0.10716482524397072,23951508.628085937
Riau,2028,133052.78,1.6952024829578698,219248364.5271875
Sulawesi Barat,2028,7186.806,0.4747326148414752,14849450.74003418
Sulawesi Selatan,2028,6203.803,0.20420063719782844,12772824.341030274
Sulawesi Tengah,2028,35032.492,0.6190546082447684,72513054.9290625
Sulawesi Tenggara,2028,21623.262,0.6834503447632274,43725911.14980469
Sulawesi Utara,2028,2464.67,0.18879010483849964,5951832.807539063
Sumatera Barat,2028,25858.117,0.6785530701382633,65765208.024140626
Sumatera Selatan,2028,141525.17,2.010986586121204,216588707.78578123
Sumatera Utara,2028,68615.52,1.186124505172995,144040451.4209375
Yogyakarta,2028,84.966324,0.06376698851929834,100719.92995803832
Aceh,2029,48192.34,0.9668036692169331,96215042.65125
Bali,2029,222.39847,0.06085023134125289,400755.36741363525
Bangka Belitung,2029,34273.594,2.5714613289617323,35596897.2046875
Banten,2029,2140.2512,0.3810154151963023,4029472.3757299804
Bengkulu,2029,29907.264,1.6659572009734291,54770069.180214845
Gorontalo,2029,4227.1455,0.4214884409066526,6624317.45383789
Jakarta Raya,2029,-0.036065824,-0.0027700325906185146,-11.912541776150464
Jambi,2029,117344.33,2.616849088373715,261837440.005
Jawa Barat,2029,4308.5815,0.21465738385348423,7558372.257568359
Jawa Tengah,2029,2759.711,0.1831233456622759,4709584.700390625
Jawa Timur,2029,5717.0137,0.2982174635914227,9588518.160332032
Kalimantan Barat,2029,228875.02,1.6779202399064719,497263013.9475
Kalimantan Selatan,2029,41255.047,1.463979054530718,62076469.0328125
Kalimantan Tengah,2029,197600.17,1.3895072455426638,387978057.46796876
Kalimantan Timur,2029,102000.76,0.8704592791720527,217118813.0796875
Kalimantan Utara,2029,28103.252,0.4110053014005762,63636722.690136716
Kepulauan Riau,2029,1995.9146,0.2893552365654629,2915352.5477441405
Lampung,2029,22257.41,1.2482206947358327,44273104.838203125
Maluku,2029,6896.05,0.16627340504756455,14324612.57529297
Maluku Utara,2029,8413.263,0.2737569452409656,18186361.04006836
Nusa Tenggara Barat,2029,3052.5125,0.2690177785586765,6329537.193127441
Nusa Tenggara Timur,2029,3787.7915,0.16482496843681585,5949711.382675781
Papua,2029,24524.732,0.08294410592541233,53283414.6490625
Papua Barat,2029,10785.43,0.11405354018765158,25491147.357812498
Riau,2029,149234.73,1.9013739500921418,245913472.34515625
Sulawesi Barat,2029,7766.5366,0.5130273671276779,16047295.631870117
Sulawesi Selatan,2029,6726.187,0.22139510626138872,13848344.652817383
Sulawesi Tengah,2029,37754.344,0.6671520928229585,78146961.04125
Sulawesi Tenggara,2029,25210.572,0.7968351181579146,50980062.918378904
Sulawesi Utara,2029,2637.6802,0.2020424367971127,6369628.349287109
Sumatera Barat,2029,27728.795,0.7276422637054214,70522921.41275391
Sumatera Selatan,2029,153568.84,2.1821198358985785,235020222.7865625
Sumatera Utara,2029,74788.734,1.2928379193064643,156999502.749375
Yogyakarta,2029,89.75598,0.06736161315269804,106397.6379650879
Aceh,2030,42306.9,0.8487337360082075,84464876.5925
Bali,2030,191.84993,0.05249187512745265,345707.8180189514
Bangka Belitung,2030,29463.578,2.2105779835614796,30601166.87640625
Banten,2030,1909.106,0.33986608293255754,3594292.8763623047
Bengkulu,2030,25688.049,1.430929636147783,47043294.460410155
Gorontalo,2030,3697.572,0.3686846983609056,5794428.139147949
Jakarta Raya,2030,-0.10258959,-0.007879384972166538,-33.88534234911204
Jambi,2030,100930.83,2.2508181672518344,225213012.64499998
Jawa Barat,2030,3688.0957,0.18374422466856652,6469878.768164062
Jawa Tengah,2030,2350.1145,0.155944169528476,4010587.903308105
Jawa Timur,2030,4858.808,0.25345075461663474,8149144.366411133
Kalimantan Barat,2030,198439.4,1.4547918008116918,431137391.59499997
Kalimantan Selatan,2030,36834.01,1.3070939372333223,55424137.43320312
Kalimantan Tengah,2030,172378.89,1.2121533864533427,338457332.79765624
Kalimantan Timur,2030,93323.78,0.7964112531968872,198649000.76874998
Kalimantan Utara,2030,24970.088,0.36518330749064815,56542017.31865234
Kepulauan Riau,2030,1815.3397,0.2631766246744886,2651594.117868652
Lampung,2030,19939.725,1.1182422721255476,39662903.809492186
Maluku,2030,5979.546,0.14417521411976758,12420832.331152344
Maluku Utara,2030,7086.912,0.2305991718687973,15319281.822988281
Nusa Tenggara Barat,2030,2636.0513,0.23231507423461337,5465984.109936523
Nusa Tenggara Timur,2030,3293.9375,0.1433350130043963,5173985.2675
Papua,2030,21985.736,0.07435706989494512,47767090.175937496
Papua Barat,2030,9664.896,0.10220414870143824,22842789.542890623
Riau,2030,139351.22,1.7754497862344027,229627118.7928125
Sulawesi Barat,2030,7001.5034,0.4624922329858396,14466576.377241211
Sulawesi Selatan,2030,5964.8374,0.1963349826912335,12280824.782563476
Sulawesi Tengah,2030,35128.48,0.620750804665145,72711739.15265624
Sulawesi Tenggara,2030,23675.379,0.7483119839337539,47875640.96285156
Sulawesi Utara,2030,2290.4976,0.17544875700445725,5531230.934345703
Sumatera Barat,2030,24541.766,0.6440101686718154,62417317.93171875
Sumatera Selatan,2030,138672.44,1.97045096630257,212222911.62562498
Sumatera Utara,2030,64881.348,1.1215735525769899,136201520.25390625
Yogyakarta,2030,81.66618,0.0612902423893427,96807.91054916382
