subnational1,year,extent_2000_ha,loss_ha,loss_rate_%,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,emission_Mg_CO2e,emission_estimated_CO2e,carbon_loss_MgC,lag_1,lag_2,lag_3,lag_5,lag_7,lag_10,roll_mean_3,roll_std_3,pct_change_3,roll_mean_5,roll_std_5,pct_change_5,roll_mean_7,roll_std_7,pct_change_7,roll_mean_10,roll_std_10,pct_change_10,trend,sin_year,cos_year,prov_enc,prov_mean_loss
Aceh,2001,4984708,18278,0.36668145857289935,653101544,544,10781164,36491661.44,9943232,14410.5,14240.5,14297.0,14513.5,14205.5,13514.5,15178.666666666668,4017.0082175396165,0.0633849853059043,17240.6,5139.581227977338,0.05911762543411603,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,0,0.5877852522924594,0.8090169943749574,0,35705.083333333336
Aceh,2002,4984708,10952,0.21971196708011784,653101544,544,6627106,21865448.96,5957888,18278.0,14240.5,14297.0,14513.5,14205.5,13514.5,15178.666666666668,4017.0082175396165,0.0633849853059043,17240.6,5139.581227977338,0.05911762543411603,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,1,0.9510565162951407,0.3090169943749873,0,35705.083333333336
Aceh,2003,4984708,11816,0.23704497836182178,653101544,544,8026562,23590407.68,6427904,10952.0,18278.0,14297.0,14513.5,14205.5,13514.5,15178.666666666668,4017.0082175396165,0.0633849853059043,17240.6,5139.581227977338,0.05911762543411603,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,2,0.9510565162951742,-0.3090169943748839,0,35705.083333333336
Aceh,2004,4984708,19138,0.38393422443200287,653101544,544,11548791,38208634.24,10411072,11816.0,10952.0,18278.0,14513.5,14205.5,13514.5,13682.0,4003.627854833663,0.04705109968267873,17240.6,5139.581227977338,0.05911762543411603,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,3,0.5877852522925473,-0.8090169943748935,0,35705.083333333336
Aceh,2005,4984708,26479,0.5312046362595362,653101544,544,17345183,52864793.92,14404576,19138.0,11816.0,10952.0,14513.5,14205.5,13514.5,13968.666666666666,4497.56926943136,1.4177319211102994,17240.6,5139.581227977338,0.05911762543411603,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,4,-1.1076377890021368e-13,-1.0,0,35705.083333333336
Aceh,2006,4984708,21284,0.42698589365716105,653101544,544,13845766,42493080.32,11578496,26479.0,19138.0,11816.0,18278.0,14205.5,13514.5,19144.333333333332,7331.502051648989,0.8012863913337847,17332.6,6303.864195872244,0.1644600065652697,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,5,-0.5877852522923587,-0.8090169943750306,0,35705.083333333336
Aceh,2007,4984708,24168,0.4848428433521081,653101544,544,15217238,48250928.64,13147392,21284.0,26479.0,19138.0,10952.0,14205.5,13514.5,22300.333333333332,3774.5556471369378,0.2628278817013272,17933.8,6554.910159567407,1.206720233747261,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,6,-0.9510565162951724,-0.30901699437488944,0,35705.083333333336
Aceh,2008,4984708,36734,0.7369338384515202,653101544,544,24828757,73338696.32,19983296,24168.0,21284.0,26479.0,11816.0,18278.0,13514.5,23977.0,2602.7614181864647,0.38728803957853386,20577.0,5635.924413971501,2.1088354773188898,18873.571428571428,5840.5039696114945,1.009738483422694,16975.1,7256.98049774816,0.1856132422614606,7,-0.9510565162951424,0.30901699437498176,0,35705.083333333336
Aceh,2009,4984708,69111,1.386460350335466,653101544,544,44802236,137978729.28,37596384,36734.0,24168.0,21284.0,19138.0,10952.0,13514.5,27395.333333333332,8215.070622540828,2.247087013719226,25560.6,6840.445146333681,2.611192392099488,21510.14285714286,8894.273071824953,5.310354273192111,16975.1,7256.98049774816,0.1856132422614606,8,-0.587785252292464,0.809016994374954,0,35705.083333333336
Aceh,2010,4984708,40757,0.8176406722319541,653101544,544,25634918,81370535.36,22171808,69111.0,36734.0,24168.0,26479.0,11816.0,13514.5,43337.666666666664,23187.811935008733,0.6864035087719298,35555.2,19641.1186214024,0.539219759054345,29818.571428571428,18911.22190532333,2.4493060257278265,16975.1,7256.98049774816,0.1856132422614606,9,-1.3703664537718588e-14,1.0,0,35705.083333333336
